date,open,high,low,adjClose,value,volume,count,yesterday,close
2013-12-25,1350.0,1600.0,1350.0,1465.0,1273040650,868919,11,1000.0,1350.0
2014-01-14,1410.0,1410.0,1410.0,1410.0,723330000,513000,3,1465.0,1410.0
2014-06-17,1420.0,1420.0,1420.0,1420.0,5680000,4000,1,940.0,1420.0
2014-07-02,1600.0,1600.0,1600.0,1600.0,16000000,10000,8,1420.0,1600.0
2014-07-12,1600.0,1600.0,1600.0,1600.0,52800000,33000,2,1600.0,1600.0
2014-08-18,1600.0,1600.0,1600.0,1600.0,128000000,80000,1,1600.0,1600.0
2014-08-27,1600.0,1600.0,1600.0,1600.0,274286400,171429,1,1600.0,1600.0
2015-02-24,1600.0,1600.0,1600.0,1600.0,3200000,2000,1,1600.0,1600.0
2015-03-10,1600.0,1600.0,1600.0,1600.0,240000000,150000,6,1600.0,1600.0
2015-04-28,1900.0,1900.0,1900.0,1900.0,285000000,150000,3,1600.0,1900.0
2015-05-06,1900.0,1900.0,1900.0,1900.0,60800000,32000,1,1900.0,1900.0
2015-05-13,1900.0,1900.0,1900.0,1900.0,38000000,20000,1,1900.0,1900.0
2015-05-30,1900.0,2020.0,1900.0,1900.0,762020000,401000,4,1900.0,2020.0
2015-05-31,2000.0,2000.0,2000.0,2000.0,20000000,10000,1,1900.0,2000.0
2015-06-10,2110.0,2110.0,2110.0,2110.0,2110000,1000,1,2000.0,2110.0
2015-06-13,2150.0,2150.0,2150.0,2150.0,215000000,100000,1,2110.0,2150.0
2015-06-16,2170.0,2170.0,2170.0,2170.0,2170000,1000,1,2150.0,2170.0
2015-06-17,2200.0,2200.0,2200.0,2200.0,156200000,71000,5,2170.0,2200.0
2015-06-20,2200.0,2200.0,2200.0,2200.0,63800000,29000,1,2200.0,2200.0
2015-06-22,2320.0,2320.0,2320.0,2320.0,1160000,500,1,2200.0,2320.0
2015-06-28,2500.0,2500.0,2500.0,2500.0,1250000,500,1,2320.0,2500.0
2015-07-05,2650.0,2650.0,2650.0,2650.0,1325000,500,1,2500.0,2650.0
2015-07-07,2500.0,2500.0,2500.0,2500.0,25000000,10000,1,2650.0,2500.0
2015-07-11,2300.0,2300.0,2300.0,2300.0,161000000,70000,5,2500.0,2300.0
2015-07-12,2300.0,2300.0,2300.0,2300.0,35500500,15435,4,2300.0,2300.0
2015-07-13,2300.0,2300.0,2201.0,2292.0,87103000,38000,4,2300.0,2300.0
2015-07-14,2300.0,2300.0,2300.0,2300.0,230000,100,1,2292.0,2300.0
2015-07-20,2300.0,2300.0,2300.0,2300.0,161000000,70000,2,2300.0,2300.0
2015-08-01,2300.0,2300.0,2300.0,2300.0,110395400,47998,7,2300.0,2300.0
