date,open,high,low,adjClose,value,volume,count,yesterday,close
2023-09-25,10000.0,10000.0,10000.0,10000.0,920086000000,92008600,418,10000.0,10000.0
2023-09-26,10000.0,10000.0,10000.0,10000.0,25077280000,2507728,381,10000.0,10000.0
2023-09-27,10000.0,10000.0,10000.0,10000.0,110508160000,11050816,457,10000.0,10000.0
2023-11-14,10160.0,10200.0,10160.0,10162.0,645294200,63498,18,10000.0,10200.0
2023-11-15,10071.0,10279.0,10071.0,10223.0,8450210117,826551,172,10162.0,10252.0
2023-11-18,10220.0,10360.0,10220.0,10242.0,26042822885,2542818,69,10223.0,10223.0
2023-11-19,10240.0,10371.0,10240.0,10317.0,31955266843,3097460,55,10242.0,10317.0
2023-11-20,10300.0,10330.0,10280.0,10298.0,2752642367,267300,40,10317.0,10280.0
2023-11-21,10260.0,10400.0,10260.0,10304.0,11628844116,1128521,36,10298.0,10399.0
2023-11-22,10444.0,10550.0,10444.0,10493.0,54424585939,5186548,80,10304.0,10451.0
2023-11-25,10371.0,10500.0,10371.0,10465.0,38483674802,3677492,85,10493.0,10500.0
2023-11-26,10386.0,10635.0,10386.0,10520.0,74724255498,7102757,78,10465.0,10539.0
2023-11-27,10548.0,10750.0,10548.0,10688.0,73617242557,6887752,107,10520.0,10691.0
2023-11-28,10703.0,10725.0,10656.0,10701.0,52242502557,4882123,82,10688.0,10720.0
2023-11-29,10753.0,10800.0,10720.0,10759.0,55734225760,5180461,126,10701.0,10746.0
2023-12-02,10764.0,11833.0,10764.0,10980.0,59454607662,5415053,152,10759.0,11081.0
2023-12-03,10970.0,11488.0,10970.0,11135.0,131581420996,11817032,188,10980.0,11210.0
2023-12-04,11244.0,11299.0,11141.0,11185.0,75760762938,6773324,172,11135.0,11241.0
2023-12-05,11101.0,11309.0,11100.0,11198.0,51992590499,4642959,85,11185.0,11195.0
2023-12-06,11198.0,11270.0,11198.0,11200.0,9805666521,875499,52,11198.0,11199.0
2023-12-09,11208.0,11208.0,11100.0,11159.0,10203982395,914399,58,11200.0,11100.0
2023-12-10,11100.0,11155.0,11070.0,11118.0,16253220111,1461829,76,11159.0,11076.0
2023-12-11,11197.0,11300.0,11197.0,11233.0,34383544808,3061063,109,11118.0,11255.0
2023-12-12,11181.0,11330.0,11181.0,11276.0,46179882806,4095347,101,11233.0,11300.0
