date,open,high,low,adjClose,value,volume,count,yesterday,close
2023-08-06,33111.0,33112.0,33111.0,33112.0,213212141508,6439121,68,10000.0,33111.0
2023-08-07,33135.0,33135.0,33134.0,33135.0,34804261407,1050378,30,33112.0,33134.0
2023-08-08,33156.0,33157.0,33156.0,33156.0,732683086,22098,8,33135.0,33157.0
2023-08-09,33178.0,33178.0,33177.0,33178.0,144601535115,4358356,16,33156.0,33178.0
2023-08-12,33244.0,33244.0,33243.0,33244.0,68408576395,2057773,25,33178.0,33244.0
2023-08-13,33265.0,33266.0,33265.0,33265.0,2617724345,78693,10,33244.0,33265.0
2023-08-14,33286.0,33287.0,33286.0,33286.0,33248487883,998873,25,33265.0,33287.0
2023-08-15,33308.0,33309.0,33308.0,33308.0,1121280655,33664,9,33286.0,33308.0
2023-08-16,33331.0,33331.0,33330.0,33331.0,62687944408,1880770,30,33308.0,33331.0
2023-08-19,33395.0,33396.0,33395.0,33395.0,94637566055,2833883,24,33331.0,33395.0
2023-08-20,33418.0,33419.0,33418.0,33419.0,47174037950,1411607,15,33395.0,33419.0
2023-08-21,33441.0,33441.0,33440.0,33441.0,310131528,9274,5,33419.0,33440.0
2023-08-22,33462.0,33463.0,33462.0,33462.0,3464377709,103531,12,33441.0,33462.0
2023-08-23,33485.0,33485.0,33484.0,33485.0,352810013236,10536388,85,33462.0,33484.0
2023-08-26,33550.0,33551.0,33550.0,33550.0,311348770769,9280142,440,33485.0,33550.0
2023-08-27,33573.0,33575.0,33573.0,33573.0,35792642721,1066113,411,33550.0,33573.0
2023-08-28,33595.0,33596.0,33595.0,33596.0,5646190075,168062,33,33573.0,33596.0
2023-08-29,33618.0,33618.0,33617.0,33618.0,46310667339,1377566,35,33596.0,33618.0
2023-08-30,33641.0,33650.0,33640.0,33645.0,740355386047,22004797,141,33618.0,33650.0
2023-09-02,33707.0,33709.0,33705.0,33707.0,358466205277,10634789,82,33645.0,33707.0
2023-09-03,33734.0,33734.0,33733.0,33733.0,136047371303,4033013,44,33707.0,33734.0
2023-09-04,33761.0,33761.0,33760.0,33760.0,41753689761,1236762,42,33733.0,33760.0
2023-09-05,33787.0,33814.0,33787.0,33793.0,157381912301,4657221,51,33760.0,33800.0
2023-09-09,33864.0,33865.0,33864.0,33864.0,132647233587,3917039,71,33793.0,33865.0
2023-09-10,33887.0,33888.0,33887.0,33887.0,35724340946,1054219,28,33864.0,33888.0
2023-09-11,33910.0,33911.0,33910.0,33910.0,12934235852,381428,32,33887.0,33910.0
2023-09-12,33932.0,33933.0,33932.0,33932.0,64103846782,1889163,50,33910.0,33933.0
2023-09-13,34000.0,34000.0,33956.0,33964.0,30254671661,890785,48,33932.0,33956.0
2023-09-17,34045.0,34046.0,34045.0,34045.0,33109104627,972510,36,33964.0,34045.0
2023-09-18,34069.0,34069.0,34068.0,34068.0,6621056959,194346,23,34045.0,34069.0
2023-09-19,34091.0,34092.0,34091.0,34091.0,10254318317,300791,15,34068.0,34091.0
2023-09-20,34115.0,34125.0,34115.0,34124.0,11843651435,347072,13,34091.0,34124.0
2023-09-23,34181.0,34182.0,34181.0,34182.0,37797018081,1105758,23,34124.0,34182.0
2023-09-25,34227.0,34228.0,34227.0,34227.0,3336794623,97489,21,34182.0,34228.0
2023-09-26,34251.0,34251.0,34250.0,34250.0,44398407426,1296303,16,34227.0,34251.0
2023-09-27,34273.0,34285.0,34273.0,34275.0,3112356488,90805,18,34250.0,34285.0
2023-09-30,34341.0,34342.0,34341.0,34341.0,253648276427,7386164,47,34275.0,34342.0
2023-10-01,34365.0,34365.0,34364.0,34364.0,4206537298,122410,19,34341.0,34365.0
2023-10-02,34388.0,34396.0,34387.0,34389.0,1850878040,53822,16,34364.0,34387.0
2023-10-04,34433.0,34442.0,34433.0,34439.0,4090768248,118782,23,34389.0,34442.0
2023-10-07,34501.0,34502.0,34501.0,34501.0,10465842526,303347,18,34439.0,34501.0
2023-10-08,34525.0,34525.0,34524.0,34524.0,6801805758,197016,23,34501.0,34524.0
2023-10-09,34547.0,34548.0,34547.0,34547.0,10321719057,298773,27,34524.0,34548.0
2023-10-10,34571.0,34571.0,34570.0,34570.0,6611521922,191249,20,34547.0,34570.0
2023-10-11,34594.0,34601.0,34594.0,34594.0,110966634561,3207643,19,34570.0,34601.0
2023-10-14,34663.0,34664.0,34663.0,34663.0,116058093011,3348180,26,34594.0,34663.0
2023-10-15,34686.0,34687.0,34686.0,34687.0,2268176792,65390,9,34663.0,34687.0
2023-10-16,34709.0,34710.0,34709.0,34710.0,12764135961,367738,16,34687.0,34709.0
