date,open,high,low,adjClose,value,volume,count,yesterday,close
2023-05-27,18500.0,18500.0,16010.0,16923.0,5077098886920,300011040,1696117,1000.0,16010.0
2023-05-28,17760.0,17760.0,17760.0,17760.0,17965465440,1011569,1829,16923.0,17760.0
2023-05-29,18640.0,18640.0,18640.0,18640.0,236659982640,12696351,2988,17760.0,18640.0
2023-05-30,19570.0,19570.0,19570.0,19570.0,249407908000,12744400,3013,18640.0,19570.0
2023-05-31,20540.0,20540.0,20540.0,20540.0,267819006000,13038900,4383,19570.0,20540.0
2023-06-03,21550.0,21550.0,21550.0,21550.0,283645194500,13162190,6569,20540.0,21550.0
2023-06-06,22600.0,22600.0,22600.0,22600.0,307747522200,13617147,9758,21550.0,22600.0
2023-06-07,23700.0,23700.0,23700.0,23700.0,377723134500,15937685,30913,22600.0,23700.0
2023-06-10,24850.0,24850.0,24850.0,24850.0,588895175750,23697995,48389,23700.0,24850.0
2023-06-11,26050.0,26050.0,26050.0,26050.0,155730703300,5978146,18237,24850.0,26050.0
2023-06-17,27350.0,27350.0,27350.0,27350.0,491509639700,17971102,25204,26050.0,27350.0
2023-06-18,28700.0,28700.0,28050.0,28650.0,5484999169600,191288680,276154,27350.0,28700.0
2023-06-19,28350.0,28350.0,27250.0,27600.0,759062237350,27507413,28267,28650.0,27250.0
2023-06-20,26250.0,26250.0,26250.0,26250.0,183144727500,6976942,3431,27600.0,26250.0
2023-06-21,24950.0,26400.0,24950.0,25400.0,2612333553450,102945768,321109,26250.0,26300.0
2023-06-24,26550.0,26650.0,25550.0,26200.0,1551320836800,59181045,176254,25400.0,25950.0
2023-06-25,25900.0,26000.0,24900.0,24950.0,1666013357100,66776569,108167,26200.0,24900.0
2023-06-26,24650.0,25750.0,24650.0,25200.0,658263203500,26146995,66028,24950.0,25050.0
2023-06-27,25150.0,25300.0,23950.0,24250.0,680421278900,28045363,40242,25200.0,23950.0
2023-06-28,23950.0,24500.0,23050.0,23750.0,630477442200,26569980,32183,24250.0,24400.0
2023-07-01,24700.0,24900.0,24200.0,24850.0,587384249700,23640231,23495,23750.0,24900.0
2023-07-02,24600.0,25450.0,24500.0,24950.0,540920091400,21679995,22338,24850.0,25000.0
2023-07-03,24800.0,25000.0,23800.0,24100.0,496923347850,20620034,32148,24950.0,24150.0
2023-07-04,24100.0,24650.0,24000.0,24200.0,254690906100,10526059,22552,24100.0,24150.0
2023-07-05,24350.0,24800.0,23950.0,24300.0,287952764700,11838433,14897,24200.0,24400.0
2023-07-08,24600.0,24700.0,23850.0,24050.0,225150806400,9354454,14077,24300.0,23900.0
2023-07-09,23950.0,24350.0,23750.0,24000.0,253883492400,10574096,12109,24050.0,23900.0
2023-07-10,23950.0,24450.0,23900.0,24100.0,164828437650,6844316,7315,24000.0,24050.0
2023-07-11,24000.0,24400.0,23150.0,23700.0,301308337950,12704646,7518,24100.0,23950.0
2023-07-12,23300.0,24850.0,23300.0,24350.0,436793011400,17928426,14346,23700.0,24450.0
2023-07-15,24700.0,24800.0,24000.0,24300.0,218197373650,8979934,8583,24350.0,24000.0
2023-07-16,24000.0,24550.0,23100.0,23450.0,273881736550,11689001,9351,24300.0,23100.0
2023-07-17,22550.0,23150.0,22300.0,22350.0,449964109400,20138765,11317,23450.0,22950.0
2023-07-18,22500.0,23450.0,22500.0,23300.0,273180460750,11723937,7921,22350.0,23450.0
2023-07-24,23800.0,23800.0,21850.0,23750.0,33301508500,1403193,835,22700.0,23800.0
2023-07-25,24500.0,24900.0,23900.0,24850.0,603611068350,24296908,9962,23750.0,24900.0
2023-07-26,25000.0,25350.0,24400.0,24750.0,184091962850,7435808,6417,24850.0,24650.0
2023-07-29,24400.0,25150.0,24400.0,24850.0,177887279650,7156197,5441,24750.0,24800.0
2023-07-30,24850.0,24950.0,23650.0,23950.0,173438830900,7239881,5699,24850.0,23700.0
2023-07-31,23700.0,24200.0,23550.0,23900.0,65232484850,2729776,5096,23950.0,24000.0
2023-08-01,24100.0,25050.0,24100.0,25000.0,228538745350,9139545,6580,23900.0,25050.0
2023-08-05,26000.0,26250.0,25400.0,26000.0,277832317100,10680803,8343,25000.0,26200.0
2023-08-06,26200.0,26300.0,25200.0,25950.0,193147473250,7446113,6481,26000.0,26000.0
2023-08-07,26000.0,27000.0,25950.0,26500.0,240871797700,9085169,12581,25950.0,26400.0
2023-08-08,26350.0,26500.0,25750.0,26000.0,184738542750,7104617,4467,26500.0,25800.0
2023-08-09,26000.0,26450.0,25450.0,25950.0,172052737400,6626478,4805,26000.0,26150.0
2023-08-12,25500.0,26450.0,24750.0,25500.0,152340219400,5974678,5060,25950.0,25550.0
2023-08-13,25150.0,26600.0,25150.0,26150.0,196389755050,7507046,6025,25500.0,26500.0
2023-08-14,26400.0,27350.0,26400.0,26800.0,326997016450,12202863,8819,26150.0,26850.0
2023-08-27,23450.0,23450.0,23450.0,23450.0,139134454550,5933239,2149,22350.0,23450.0
2023-08-28,23850.0,23950.0,23000.0,23450.0,332571692950,14167071,11001,23450.0,23600.0
2023-08-29,23600.0,23800.0,23200.0,23450.0,181264913650,7728310,7573,23450.0,23250.0
2023-08-30,23350.0,23400.0,23100.0,23200.0,198419006550,8545603,19018,23450.0,23150.0
2023-09-02,23150.0,23500.0,23150.0,23250.0,105579909200,4540745,3666,23200.0,23300.0
2023-09-03,23300.0,23600.0,23100.0,23350.0,72403319850,3100178,2936,23250.0,23300.0
2023-09-04,23300.0,24400.0,23300.0,23650.0,110420941900,4664713,4098,23350.0,24300.0
2023-09-05,24300.0,24400.0,23700.0,24150.0,88278580400,3654305,3737,23650.0,24100.0
2023-09-09,24100.0,24350.0,23900.0,24150.0,111240882350,4606923,3748,24150.0,24200.0
2023-09-10,24050.0,25000.0,24050.0,24550.0,70979265750,2889533,3895,24150.0,24750.0
2023-09-11,25000.0,25300.0,24700.0,24950.0,65314726600,2618452,3034,24550.0,25000.0
2023-09-12,25200.0,25200.0,24600.0,24800.0,94924383700,3827212,2731,24950.0,24800.0
2023-09-13,24800.0,24900.0,24150.0,24350.0,113995335050,4680915,2575,24800.0,24400.0
2023-09-17,24350.0,24500.0,24200.0,24300.0,108580471900,4463778,2980,24350.0,24400.0
2023-09-18,24300.0,24550.0,23950.0,24150.0,140276362650,5811929,3684,24300.0,23950.0
2023-09-19,24200.0,24200.0,23700.0,23850.0,75627480900,3169115,2411,24150.0,23750.0
2023-09-20,23850.0,23900.0,23300.0,23500.0,75922712200,3234019,2659,23850.0,23500.0
2023-09-23,23550.0,24300.0,23550.0,23750.0,47573934050,2002249,2810,23500.0,23750.0
2023-09-25,23950.0,24100.0,23800.0,23900.0,84632247300,3542461,2800,23750.0,23900.0
2023-09-26,24000.0,24300.0,24000.0,24150.0,47414624650,1962659,2573,23900.0,24200.0
